time,temperature,humidity
2023-05-15T00:00:00.000000+08:00,28.0,84%
2023-05-15T01:00:00.000000+08:00,29.0,79%
2023-05-15T02:00:00.000000+08:00,29.0,79%
2023-05-15T03:00:00.000000+08:00,28.0,84%
2023-05-15T04:00:00.000000+08:00,28.0,84%
2023-05-15T05:00:00.000000+08:00,27.0,89%
2023-05-15T06:00:00.000000+08:00,27.0,89%
2023-05-15T07:00:00.000000+08:00,27.0,89%
2023-05-15T09:00:00.000000+08:00,30.0,79%
2023-05-15T10:00:00.000000+08:00,32.0,63%
2023-05-15T11:00:00.000000+08:00,33.0,59%
2023-05-15T12:00:00.000000+08:00,33.0,59%
2023-05-15T13:00:00.000000+08:00,32.0,59%
2023-05-15T13:10:00.000000+08:00,32.0,55%
2023-05-15T14:00:00.000000+08:00,32.0,55%
2023-05-15T14:30:00.000000+08:00,32.0,59%
2023-05-15T15:00:00.000000+08:00,32.0,59%
2023-05-15T16:00:00.000000+08:00,29.0,70%
2023-05-15T17:00:00.000000+08:00,29.0,70%
2023-05-15T18:00:00.000000+08:00,30.0,70%
2023-05-15T18:35:00.000000+08:00,30.0,66%
2023-05-15T19:00:00.000000+08:00,29.0,74%
2023-05-15T20:00:00.000000+08:00,29.0,79%
,28.0,79%
,29.0,74%
,28.0,79%
