Time,Temperature,Humidity
Time,Temperature,Humidity
00:00,26,79
01:00,25,83
02:00,25,83
03:00,24,83
04:00,24,83
05:00,24,89
06:00,24,89
07:00,24,83
09:00,27,70
10:00,27,70
11:00,29,62
12:00,31,49
13:00,30,55
14:00,31,52
15:00,31,52
16:00,31,52
17:00,30,55
18:00,30,59
19:00,29,58
20:00,28,66
21:00,27,74
22:00,27,74
23:00,26,79
Time,Temperature,Humidity
00:00,26,79
01:00,26,79
02:00,26,79
03:00,25,83
04:00,25,83
05:00,25,83
06:00,25,83
07:00,25,83
09:00,27,74
10:00,29,66
11:00,30,62
12:00,32,52
13:00,32,52
14:00,33,49
15:00,33,46
16:00,33,46
17:00,32,49
18:00,31,55
19:00,29,62
20:00,28,70
21:00,27,79
22:00,27,79
23:00,27,79
Time,Temperature,Humidity
00:00,27,79
01:00,27,79
02:00,26,84
03:00,26,84
04:00,26,84
05:00,26,84
06:00,25,89
07:00,26,84
09:00,28,74
10:00,30,66
11:00,30,62
12:00,32,55
13:00,32,55
14:00,33,49
15:00,33,52
16:00,32,55
17:00,31,59
18:00,30,62
19:00,29,66
20:00,28,70
21:00,28,70
22:00,27,79
23:00,27,79
Time,Temperature,Humidity
00:00,27,79
01:00,27,79
02:00,26,84
03:00,26,84
04:00,26,84
05:00,26,84
06:00,26,84
07:00,25,89
09:00,27,79
10:00,28,74
11:00,30,62
12:00,32,55
13:00,32,55
14:00,32,55
15:00,32,55
16:00,31,59
17:00,31,59
18:00,31,59
19:00,29,66
20:00,28,74
21:00,28,74
22:00,27,84
23:00,27,84
Time,Temperature,Humidity
00:00,26,89
01:00,26,89
02:00,26,89
03:00,27,79
04:00,26,89
05:00,26,84
06:00,26,84
07:00,26,89
09:00,28,79
10:00,29,74
11:00,31,66
12:00,31,62
13:00,32,59
14:00,33,59
15:00,33,56
16:00,31,62
17:00,30,66
18:00,29,74
19:00,29,74
20:00,28,74
21:00,28,79
22:00,28,79
23:00,28,79
Time,Temperature,Humidity
00:00,27,84
01:00,27,84
02:00,27,84
03:00,27,84
04:00,26,89
05:00,27,84
06:00,27,84
07:00,26,89
09:00,28,79
10:00,30,66
11:00,30,66
12:00,31,62
13:00,31,62
14:00,29,79
15:00,32,63
15:25,32,59
16:00,32,59
17:00,29,70
18:00,29,70
19:00,29,70
20:00,28,79
21:00,28,79
22:00,27,84
23:00,27,84
Time,Temperature,Humidity
00:00,27,84
01:00,27,84
02:00,27,84
03:00,26,89
04:00,26,89
05:00,26,89
06:00,26,89
07:00,26,89
09:00,24,94
10:00,25,89
11:00,26,84
12:00,27,79
13:00,28,74
14:00,30,62
15:00,31,55
16:00,32,52
17:00,32,49
18:00,31,62
19:00,29,70
20:00,29,74
21:00,28,79
22:00,27,84
23:00,27,84
Time,Temperature,Humidity
00:00,26,89
01:00,26,89
02:00,26,89
03:00,26,89
04:00,26,89
05:00,26,89
06:00,25,94
07:00,25,94
09:00,28,79
10:00,30,66
11:00,31,62
12:00,31,62
13:00,32,59
14:00,31,66
15:08,27,84
16:00,26,94
17:00,28,84
18:00,29,74
19:00,29,74
20:00,28,79
21:00,28,79
22:00,27,84
23:00,27,84
Time,Temperature,Humidity
00:00,27,84
01:00,26,89
02:00,26,89
03:00,25,94
04:00,25,94
05:00,25,94
06:00,25,94
07:00,25,94
09:00,28,79
10:00,30,70
11:00,31,66
12:00,32,59
13:00,32,59
