time,device_temperature,device_humidity,climate_temperature,climate_humidity
2024-07-13T16:00:00.000+08:00,23.56,45.92,31.9,62.0
2024-07-13T19:00:00.000+08:00,25.03,43.97,,
2024-07-13T20:00:00.000+08:00,,,,
2024-07-13T21:00:00.000+08:00,25.15,44.46,,
2024-07-13T22:00:00.000+08:00,,,,
2024-07-13T23:00:00.000+08:00,,,,
2024-07-14T00:00:00.000+08:00,,,,
2024-07-14T08:00:00.000+08:00,24.5,38.04,27.98,80.0
2024-07-14T09:00:00.000+08:00,24.99,45.11,28.17,79.15
2024-07-14T10:00:00.000+08:00,25.09,44.54,29.68,69.2
2024-07-14T11:00:00.000+08:00,25.09,45.66,30.02,67.25
2024-07-14T12:00:00.000+08:00,25.01,44.56,30.91,59.25
2024-07-14T13:00:00.000+08:00,24.2,58.28,31.19,56.75
2024-07-14T14:00:00.000+08:00,25.05,44.45,30.87,57.45
2024-07-14T15:00:00.000+08:00,24.88,44.97,30.77,55.45
2024-07-14T16:00:00.000+08:00,25.13,45.41,31.11,58.35
2024-07-14T17:00:00.000+08:00,25.0,45.95,30.76,60.7
2024-07-14T18:00:00.000+08:00,24.99,45.16,29.82,70.3
2024-07-14T19:00:00.000+08:00,25.11,47.31,29.19,68.29
2024-07-14T20:00:00.000+08:00,25.12,45.0,28.89,67.6
2024-07-14T21:00:00.000+08:00,25.06,44.96,28.89,70.25
2024-07-14T21:00:00.000+08:00,25.06,44.96,28.89,70.25
2024-07-14T22:00:00.000+08:00,24.9,44.53,28.85,74.6
2024-07-14T23:00:00.000+08:00,25.04,44.68,27.91,78.0
2024-07-15T00:00:00.000+08:00,25.13,44.62,27.73,78.67
2024-07-15T08:00:00.000+08:00,25.15,43.46,28.11,78.0
2024-07-15T09:00:00.000+08:00,25.17,44.86,29.7,72.2
2024-07-15T10:00:00.000+08:00,25.18,44.64,30.28,70.8
2024-07-15T11:00:00.000+08:00,25.04,45.15,30.83,66.85
2024-07-15T12:00:00.000+08:00,25.0,45.18,30.95,66.35
2024-07-15T13:00:00.000+08:00,24.92,45.3,31.77,61.8
2024-07-15T14:00:00.000+08:00,25.02,45.01,31.96,60.65
2024-07-15T15:00:00.000+08:00,24.87,44.75,31.8,60.7
2024-07-15T16:00:00.000+08:00,25.14,45.19,31.89,57.35
2024-07-15T17:00:00.000+08:00,25.06,45.39,31.29,58.25
2024-07-15T18:00:00.000+08:00,25.05,45.01,30.49,61.1
2024-07-15T19:00:00.000+08:00,25.05,45.11,29.8,64.5
2024-07-15T20:00:00.000+08:00,25.11,44.74,29.22,70.8
2024-07-15T21:00:00.000+08:00,24.94,45.15,28.88,74.8
2024-07-15T22:00:00.000+08:00,25.01,45.08,28.88,74.15
2024-07-15T23:00:00.000+08:00,25.13,45.25,28.88,73.6
2024-07-16T00:00:00.000+08:00,24.94,45.12,28.88,76.43
2024-07-16T08:00:00.000+08:00,25.5,46.76,28.92,77.0
2024-07-16T09:00:00.000+08:00,26.5,45.1,29.52,74.2
2024-07-16T10:00:00.000+08:00,25.18,44.88,29.61,72.0
2024-07-16T11:00:00.000+08:00,25.0,44.82,30.33,69.6
2024-07-16T11:00:00.000+08:00,25.0,44.82,30.33,69.6
2024-07-16T12:00:00.000+08:00,25.07,45.65,30.86,68.4
2024-07-16T13:00:00.000+08:00,24.96,44.87,31.0,65.5
2024-07-16T14:00:00.000+08:00,24.96,44.98,31.84,59.6
2024-07-16T15:00:00.000+08:00,24.9,44.67,31.17,60.4
2024-07-16T16:00:00.000+08:00,25.01,44.61,30.9,59.35
