time,device_temperature,device_humidity,climate_temperature,climate_humidity
2023-03-15 15:00:00+08:00,20.24,0.48,31,0.52
2023-03-15 16:00:00+08:00,20.25,0.48,31,0.52
2023-03-15 17:00:00+08:00,20.25,0.46,30,0.55
2023-03-15 18:00:00+08:00,20.25,0.46,30,0.59
2023-03-15 19:00:00+08:00,20.17,0.45,29,0.58
2023-03-15 20:00:00+08:00,20.12,0.45,28,0.66
2023-03-15 21:00:00+08:00,20.2,0.44,27,0.74
2023-03-15 22:00:00+08:00,21.79,0.48,27,0.74
2023-03-15 23:00:00+08:00,23.18,0.52,26,0.79
2023-03-16 00:00:00+08:00,24.04,0.55,26,0.79
2023-03-16 01:00:00+08:00,24.64,0.57,26,0.79
2023-03-16 02:00:00+08:00,25.05,0.59,26,0.79
2023-03-16 03:00:00+08:00,25.35,0.61,25,0.83
2023-03-16 04:00:00+08:00,25.6,0.62,25,0.83
2023-03-16 05:00:00+08:00,25.79,0.63,25,0.83
2023-03-16 06:00:00+08:00,25.94,0.64,25,0.83
2023-03-16 07:00:00+08:00,26.12,0.64,25,0.83
2023-03-16 08:00:00+08:00,23.77,0.54,26,0.78
2023-03-16 09:00:00+08:00,20.95,0.46,27,0.74
2023-03-16 10:00:00+08:00,20.51,0.46,29,0.66
2023-03-16 11:00:00+08:00,20.47,0.46,30,0.62
2023-03-16 12:00:00+08:00,20.18,0.5,32,0.52
2023-03-16 13:00:00+08:00,20.08,0.5,32,0.52
2023-03-16 14:00:00+08:00,19.88,0.52,33,0.49
2023-03-16 15:00:00+08:00,19.98,0.52,33,0.46
2023-03-16 16:00:00+08:00,20.07,0.52,33,0.46
2023-03-16 17:00:00+08:00,20.14,0.5,32,0.49
2023-03-16 18:00:00+08:00,20.18,0.48,31,0.55
2023-03-16 19:00:00+08:00,20.11,0.45,29,0.62
2023-03-16 20:00:00+08:00,19.97,0.44,28,0.7
2023-03-16 21:00:00+08:00,20.06,0.44,27,0.79
2023-03-16 22:00:00+08:00,21.7,0.47,27,0.79
2023-03-16 23:00:00+08:00,23.11,0.51,27,0.79
2023-03-17 00:00:00+08:00,23.98,0.54,27,0.79
2023-03-17 01:00:00+08:00,24.59,0.56,27,0.79
2023-03-17 02:00:00+08:00,25,0.58,26,0.84
2023-03-17 03:00:00+08:00,25.32,0.6,26,0.84
2023-03-17 04:00:00+08:00,25.58,0.61,26,0.84
2023-03-17 05:00:00+08:00,25.79,0.61,26,0.84
2023-03-17 06:00:00+08:00,25.94,0.64,25,0.89
2023-03-17 07:00:00+08:00,26.15,0.63,26,0.84
2023-03-17 08:00:00+08:00,23.81,0.54,27,0.79
2023-03-17 09:00:00+08:00,20.76,0.46,28,0.74
2023-03-17 10:00:00+08:00,20.05,0.46,30,0.66
2023-03-17 11:00:00+08:00,19.9,0.46,30,0.62
2023-03-17 12:00:00+08:00,19.78,0.5,32,0.55
2023-03-17 13:00:00+08:00,19.86,0.5,32,0.55
2023-03-17 14:00:00+08:00,20.06,0.52,33,0.49
2023-03-17 15:00:00+08:00,20.06,0.52,33,0.52
