time,device_temperature,device_humidity,climate_temperature,climate_humidity
2023-03-15 15:00:00+08:00,20.24,0.72,31.0,0.52
2023-03-15 16:00:00+08:00,20.25,0.72,31.0,0.52
2023-03-15 17:00:00+08:00,20.25,0.7,30.0,0.55
2023-03-15 18:00:00+08:00,20.25,0.7,30.0,0.59
2023-03-15 19:00:00+08:00,20.17,0.69,29.0,0.58
2023-03-15 20:00:00+08:00,20.12,0.68,28.0,0.66
2023-03-15 21:00:00+08:00,20.2,0.68,27.0,0.74
2023-03-15 22:00:00+08:00,21.79,0.68,27.0,0.74
2023-03-15 23:00:00+08:00,23.18,0.69,26.0,0.79
2023-03-16 00:00:00+08:00,24.04,0.7,26.0,0.79
2023-03-16 01:00:00+08:00,24.64,0.72,26.0,0.79
2023-03-16 02:00:00+08:00,25.05,0.73,26.0,0.79
2023-03-16 03:00:00+08:00,25.35,0.75,25.0,0.83
2023-03-16 04:00:00+08:00,25.6,0.76,25.0,0.83
2023-03-16 05:00:00+08:00,25.79,0.76,25.0,0.83
2023-03-16 06:00:00+08:00,25.94,0.77,25.0,0.83
2023-03-16 07:00:00+08:00,26.12,0.77,25.0,0.83
2023-03-16 08:00:00+08:00,23.77,0.7,26.0,0.78
2023-03-16 09:00:00+08:00,20.95,0.68,27.0,0.74
2023-03-16 10:00:00+08:00,20.51,0.68,29.0,0.66
2023-03-16 11:00:00+08:00,20.47,0.7,30.0,0.62
2023-03-16 12:00:00+08:00,20.18,0.75,32.0,0.52
2023-03-16 13:00:00+08:00,20.08,0.75,32.0,0.52
2023-03-16 14:00:00+08:00,19.88,0.79,33.0,0.49
2023-03-16 15:00:00+08:00,19.98,0.79,33.0,0.46
2023-03-16 16:00:00+08:00,20.07,0.78,33.0,0.46
2023-03-16 17:00:00+08:00,20.14,0.75,32.0,0.49
2023-03-16 18:00:00+08:00,20.18,0.72,31.0,0.55
2023-03-16 19:00:00+08:00,20.11,0.69,29.0,0.62
2023-03-16 20:00:00+08:00,19.97,0.69,28.0,0.7
2023-03-16 21:00:00+08:00,20.06,0.68,27.0,0.79
2023-03-16 22:00:00+08:00,21.7,0.68,27.0,0.79
2023-03-16 23:00:00+08:00,23.11,0.68,27.0,0.79
2023-03-17 00:00:00+08:00,23.98,0.69,27.0,0.79
2023-03-17 01:00:00+08:00,24.59,0.7,27.0,0.79
2023-03-17 02:00:00+08:00,25.0,0.73,26.0,0.84
2023-03-17 03:00:00+08:00,25.32,0.74,26.0,0.84
2023-03-17 04:00:00+08:00,25.58,0.74,26.0,0.84
2023-03-17 05:00:00+08:00,25.79,0.75,26.0,0.84
2023-03-17 06:00:00+08:00,25.94,0.77,25.0,0.89
2023-03-17 07:00:00+08:00,26.15,0.76,26.0,0.84
2023-03-17 08:00:00+08:00,23.81,0.69,27.0,0.79
2023-03-17 09:00:00+08:00,20.76,0.68,28.0,0.74
2023-03-17 10:00:00+08:00,20.05,0.7,30.0,0.66
2023-03-17 11:00:00+08:00,19.9,0.71,30.0,0.62
2023-03-17 12:00:00+08:00,19.78,0.76,32.0,0.55
2023-03-17 13:00:00+08:00,19.86,0.76,32.0,0.55
2023-03-17 14:00:00+08:00,20.06,0.78,33.0,0.49
2023-03-17 15:00:00+08:00,20.06,0.78,33.0,0.52
2023-03-17 16:00:00+08:00,19.95,0.76,32.0,0.55
2023-03-17 17:00:00+08:00,19.96,0.73,31.0,0.59
2023-03-17 18:00:00+08:00,19.83,0.71,30.0,0.62
2023-03-17 19:00:00+08:00,19.77,0.7,29.0,0.66
2023-03-17 20:00:00+08:00,19.68,0.69,28.0,0.7
2023-03-17 21:00:00+08:00,19.79,0.69,28.0,0.7
2023-03-17 22:00:00+08:00,21.49,0.68,27.0,0.79
2023-03-17 23:00:00+08:00,22.91,0.68,27.0,0.79
2023-03-18 00:00:00+08:00,23.81,0.69,27.0,0.79
2023-03-18 01:00:00+08:00,24.43,0.7,27.0,0.79
2023-03-18 02:00:00+08:00,24.86,0.72,26.0,0.84
2023-03-18 03:00:00+08:00,25.18,0.73,26.0,0.84
2023-03-18 04:00:00+08:00,25.43,0.74,26.0,0.84
2023-03-18 05:00:00+08:00,25.62,0.74,26.0,0.84
2023-03-18 06:00:00+08:00,25.81,0.75,26.0,0.84
2023-03-18 07:00:00+08:00,26.13,0.77,25.0,0.89
2023-03-18 08:00:00+08:00,26.55,0.77,26.0,0.84
2023-03-18 09:00:00+08:00,27.05,0.77,27.0,0.79
2023-03-18 10:00:00+08:00,25.69,0.72,28.0,0.74
2023-03-18 11:00:00+08:00,22.14,0.69,30.0,0.62
2023-03-18 12:00:00+08:00,20.15,0.75,32.0,0.55
2023-03-18 13:00:00+08:00,19.79,0.76,32.0,0.55
2023-03-18 14:00:00+08:00,19.78,0.76,32.0,0.55
2023-03-18 15:00:00+08:00,19.83,0.76,32.0,0.55
2023-03-18 16:00:00+08:00,20.05,0.73,31.0,0.59
2023-03-18 17:00:00+08:00,22.22,0.7,31.0,0.59
2023-03-18 18:00:00+08:00,23.93,0.71,31.0,0.59
2023-03-18 19:00:00+08:00,24.85,0.7,29.0,0.66
2023-03-18 20:00:00+08:00,25.28,0.71,28.0,0.74
2023-03-18 21:00:00+08:00,25.61,0.72,28.0,0.74
2023-03-18 22:00:00+08:00,25.85,0.73,27.0,0.84
2023-03-18 23:00:00+08:00,26.04,0.74,27.0,0.84
2023-03-19 00:00:00+08:00,26.18,0.76,26.0,0.89
2023-03-19 01:00:00+08:00,26.31,0.76,26.0,0.89
2023-03-19 02:00:00+08:00,26.4,0.76,26.0,0.89
2023-03-19 03:00:00+08:00,26.5,0.75,27.0,0.79
2023-03-19 04:00:00+08:00,26.58,0.77,26.0,0.89
2023-03-19 05:00:00+08:00,26.66,0.77,26.0,0.84
2023-03-19 06:00:00+08:00,26.76,0.77,26.0,0.84
2023-03-19 07:00:00+08:00,26.9,0.78,26.0,0.89
2023-03-19 08:00:00+08:00,27.11,0.77,27.0,0.84
2023-03-19 09:00:00+08:00,27.46,0.77,28.0,0.79
2023-03-19 10:00:00+08:00,27.71,0.78,29.0,0.74
2023-03-19 11:00:00+08:00,27.98,0.82,31.0,0.66
2023-03-19 12:00:00+08:00,28.23,0.83,31.0,0.62
2023-03-19 13:00:00+08:00,28.4,0.86,32.0,0.59
2023-03-19 14:00:00+08:00,28.54,0.89,33.0,0.59
2023-03-19 15:00:00+08:00,28.6,0.89,33.0,0.56
2023-03-19 16:00:00+08:00,28.55,0.85,31.0,0.62
2023-03-19 17:00:00+08:00,28.53,0.83,30.0,0.66
2023-03-19 18:00:00+08:00,28.54,0.81,29.0,0.74
2023-03-19 19:00:00+08:00,28.44,0.81,29.0,0.74
2023-03-19 20:00:00+08:00,28.25,0.81,28.0,0.74
2023-03-19 21:00:00+08:00,28.12,0.8,28.0,0.79
2023-03-19 22:00:00+08:00,28.05,0.8,28.0,0.79
2023-03-19 23:00:00+08:00,27.96,0.79,28.0,0.79
2023-03-20 00:00:00+08:00,27.94,0.8,27.0,0.84
2023-03-20 01:00:00+08:00,27.93,0.8,27.0,0.84
2023-03-20 02:00:00+08:00,27.86,0.8,27.0,0.84
2023-03-20 03:00:00+08:00,27.85,0.8,27.0,0.84
2023-03-20 04:00:00+08:00,27.85,0.81,26.0,0.89
2023-03-20 05:00:00+08:00,27.85,0.8,27.0,0.84
2023-03-20 06:00:00+08:00,27.85,0.8,27.0,0.84
2023-03-20 07:00:00+08:00,27.96,0.82,26.0,0.89
2023-03-20 08:00:00+08:00,26.06,0.74,27.0,0.84
2023-03-20 09:00:00+08:00,22.68,0.68,28.0,0.79
2023-03-20 10:00:00+08:00,20.67,0.69,30.0,0.66
2023-03-20 11:00:00+08:00,19.83,0.71,30.0,0.66
2023-03-20 12:00:00+08:00,19.78,0.73,31.0,0.62
2023-03-20 13:00:00+08:00,19.8,0.73,31.0,0.62
2023-03-20 14:00:00+08:00,19.79,0.69,29.0,0.79
2023-03-20 15:00:00+08:00,19.87,0.76,32.0,0.63
2023-03-20 16:00:00+08:00,19.95,0.76,32.0,0.59
2023-03-20 17:00:00+08:00,20.01,0.69,29.0,0.7
2023-03-20 18:00:00+08:00,20.0,0.69,29.0,0.7
2023-03-20 19:00:00+08:00,19.97,0.69,29.0,0.7
2023-03-20 20:00:00+08:00,19.95,0.68,28.0,0.79
2023-03-20 21:00:00+08:00,20.12,0.68,28.0,0.79
2023-03-20 22:00:00+08:00,21.83,0.68,27.0,0.84
2023-03-20 23:00:00+08:00,23.33,0.68,27.0,0.84
2023-03-21 00:00:00+08:00,24.24,0.69,27.0,0.84
2023-03-21 01:00:00+08:00,24.88,0.71,27.0,0.84
2023-03-21 02:00:00+08:00,25.31,0.72,27.0,0.84
2023-03-21 03:00:00+08:00,25.64,0.74,26.0,0.89
2023-03-21 04:00:00+08:00,25.93,0.75,26.0,0.89
2023-03-21 05:00:00+08:00,26.14,0.76,26.0,0.89
2023-03-21 06:00:00+08:00,26.32,0.76,26.0,0.89
2023-03-21 07:00:00+08:00,26.56,0.77,26.0,0.89
2023-03-21 08:00:00+08:00,24.4,0.73,25.0,0.92
2023-03-21 09:00:00+08:00,21.05,0.7,24.0,0.94
2023-03-21 10:00:00+08:00,20.19,0.69,25.0,0.89
2023-03-21 11:00:00+08:00,20.07,0.68,26.0,0.84
2023-03-21 12:00:00+08:00,20.04,0.68,27.0,0.79
2023-03-21 13:00:00+08:00,20.09,0.68,28.0,0.74
2023-03-21 14:00:00+08:00,19.7,0.71,30.0,0.62
2023-03-21 15:00:00+08:00,19.65,0.73,31.0,0.55
2023-03-21 16:00:00+08:00,19.37,0.77,32.0,0.52
2023-03-21 17:00:00+08:00,19.35,0.77,32.0,0.49
2023-03-21 18:00:00+08:00,19.51,0.74,31.0,0.62
2023-03-21 19:00:00+08:00,19.53,0.7,29.0,0.7
2023-03-21 20:00:00+08:00,19.5,0.7,29.0,0.74
2023-03-21 21:00:00+08:00,19.7,0.69,28.0,0.79
2023-03-21 22:00:00+08:00,21.63,0.68,27.0,0.84
2023-03-21 23:00:00+08:00,23.0,0.68,27.0,0.84
2023-03-22 00:00:00+08:00,23.81,0.7,26.0,0.89
2023-03-22 01:00:00+08:00,24.37,0.71,26.0,0.89
2023-03-22 02:00:00+08:00,24.77,0.72,26.0,0.89
2023-03-22 03:00:00+08:00,25.11,0.73,26.0,0.89
2023-03-22 04:00:00+08:00,25.36,0.74,26.0,0.89
2023-03-22 05:00:00+08:00,25.58,0.74,26.0,0.89
2023-03-22 06:00:00+08:00,25.75,0.76,25.0,0.94
2023-03-22 07:00:00+08:00,26.06,0.77,25.0,0.94
2023-03-22 08:00:00+08:00,23.6,0.69,26.5,0.86
2023-03-22 09:00:00+08:00,20.2,0.68,28.0,0.79
2023-03-22 10:00:00+08:00,19.5,0.71,30.0,0.66
2023-03-22 11:00:00+08:00,19.61,0.73,31.0,0.62
2023-03-22 12:00:00+08:00,19.69,0.73,31.0,0.62
2023-03-22 13:00:00+08:00,19.61,0.76,32.0,0.59
2023-03-22 14:00:00+08:00,19.64,0.73,31.0,0.66
2023-03-22 15:00:00+08:00,19.82,0.69,28.5,0.8
2023-03-22 16:00:00+08:00,19.81,0.69,26.0,0.94
2023-03-22 17:00:00+08:00,19.87,0.69,28.0,0.84
2023-03-22 18:00:00+08:00,20.13,0.69,29.0,0.74
2023-03-22 19:00:00+08:00,19.87,0.69,29.0,0.74
2023-03-22 20:00:00+08:00,19.63,0.69,28.0,0.79
2023-03-22 21:00:00+08:00,19.73,0.69,28.0,0.79
2023-03-22 22:00:00+08:00,21.69,0.68,27.0,0.84
2023-03-22 23:00:00+08:00,23.03,0.68,27.0,0.84
2023-03-23 00:00:00+08:00,23.79,0.69,27.0,0.84
2023-03-23 01:00:00+08:00,24.32,0.71,26.0,0.89
2023-03-23 02:00:00+08:00,24.72,0.72,26.0,0.89
2023-03-23 03:00:00+08:00,25.03,0.74,25.0,0.94
2023-03-23 04:00:00+08:00,25.29,0.75,25.0,0.94
2023-03-23 05:00:00+08:00,25.5,0.75,25.0,0.94
2023-03-23 06:00:00+08:00,25.66,0.76,25.0,0.94
2023-03-23 07:00:00+08:00,25.87,0.77,25.0,0.94
2023-03-23 08:00:00+08:00,23.24,0.68,26.5,0.86
2023-03-23 09:00:00+08:00,20.0,0.68,28.0,0.79
2023-03-23 10:00:00+08:00,19.55,0.71,30.0,0.7
2023-03-23 11:00:00+08:00,19.69,0.73,31.0,0.66
2023-03-23 12:00:00+08:00,19.61,0.76,32.0,0.59
2023-03-23 13:00:00+08:00,19.61,0.76,32.0,0.59
2023-03-23 14:00:00+08:00,19.64,0.82,34.0,0.56
2023-03-23 15:00:00+08:00,19.74,0.82,34.0,0.53
2023-03-23 16:00:00+08:00,19.66,0.82,34.0,0.53
2023-03-23 17:00:00+08:00,19.75,0.79,33.0,0.56
2023-03-23 18:00:00+08:00,19.98,0.73,31.0,0.62
2023-03-23 19:00:00+08:00,19.98,0.71,30.0,0.66
2023-03-23 20:00:00+08:00,19.98,0.69,29.0,0.7
2023-03-23 21:00:00+08:00,20.16,0.68,28.0,0.79
2023-03-23 22:00:00+08:00,21.73,0.67,28.0,0.79
2023-03-23 23:00:00+08:00,23.13,0.68,27.0,0.84
2023-03-24 00:00:00+08:00,24.05,0.69,27.0,0.84
2023-03-24 01:00:00+08:00,24.67,0.7,27.0,0.84
2023-03-24 02:00:00+08:00,25.1,0.71,27.0,0.84
2023-03-24 03:00:00+08:00,25.43,0.72,27.0,0.84
2023-03-24 04:00:00+08:00,25.66,0.74,26.0,0.89
2023-03-24 05:00:00+08:00,25.86,0.73,27.0,0.84
2023-03-24 06:00:00+08:00,26.05,0.74,27.0,0.84
2023-03-24 07:00:00+08:00,26.26,0.75,27.0,0.84
2023-03-24 08:00:00+08:00,24.03,0.69,28.0,0.77
2023-03-24 09:00:00+08:00,20.9,0.68,29.0,0.7
2023-03-24 10:00:00+08:00,20.04,0.7,30.0,0.7
2023-03-24 11:00:00+08:00,19.82,0.73,31.0,0.66
2023-03-24 12:00:00+08:00,19.83,0.79,33.0,0.56
2023-03-24 13:00:00+08:00,19.86,0.71,30.0,0.66
2023-03-24 14:00:00+08:00,19.95,0.73,31.0,0.66
2023-03-24 15:00:00+08:00,20.04,0.7,30.0,0.75
2023-03-24 16:00:00+08:00,20.46,0.68,28.0,0.79
2023-03-24 17:00:00+08:00,20.57,0.7,30.0,0.66
2023-03-24 18:00:00+08:00,20.27,0.68,26.0,0.89
2023-03-24 19:00:00+08:00,20.08,0.68,26.0,0.94
2023-03-24 20:00:00+08:00,20.04,0.68,26.0,0.94
2023-03-24 21:00:00+08:00,20.16,0.68,26.0,0.94
2023-03-24 22:00:00+08:00,21.7,0.68,26.0,0.94
2023-03-24 23:00:00+08:00,23.09,0.68,26.0,0.94
2023-03-25 00:00:00+08:00,23.98,0.7,26.0,0.89
2023-03-25 01:00:00+08:00,24.58,0.71,26.0,0.89
2023-03-25 02:00:00+08:00,25.04,0.73,26.0,0.89
2023-03-25 03:00:00+08:00,25.37,0.74,26.0,0.89
2023-03-25 04:00:00+08:00,25.64,0.74,26.0,0.89
2023-03-25 05:00:00+08:00,25.86,0.75,26.0,0.89
2023-03-25 06:00:00+08:00,26.05,0.77,25.0,0.94
2023-03-25 07:00:00+08:00,26.31,0.78,25.0,0.94
2023-03-25 08:00:00+08:00,26.58,0.77,26.0,0.89
2023-03-25 09:00:00+08:00,26.92,0.77,27.0,0.84
2023-03-25 10:00:00+08:00,25.74,0.72,29.0,0.79
2023-03-25 11:00:00+08:00,22.43,0.7,31.0,0.66
2023-03-25 12:00:00+08:00,20.26,0.75,32.0,0.63
2023-03-25 13:00:00+08:00,19.85,0.71,30.0,0.7
2023-03-25 14:00:00+08:00,20.05,0.68,27.0,0.89
2023-03-25 15:00:00+08:00,20.15,0.68,26.0,0.94
2023-03-25 16:00:00+08:00,20.33,0.68,26.0,0.89
2023-03-25 17:00:00+08:00,22.09,0.69,25.0,0.89
2023-03-25 18:00:00+08:00,23.52,0.71,25.0,0.94
2023-03-25 19:00:00+08:00,24.44,0.73,25.0,0.89
2023-03-25 20:00:00+08:00,24.95,0.74,25.0,0.89
2023-03-25 21:00:00+08:00,25.32,0.75,25.0,0.89
2023-03-25 22:00:00+08:00,25.62,0.76,25.0,0.89
2023-03-25 23:00:00+08:00,25.84,0.79,24.0,0.89
2023-03-26 00:00:00+08:00,26.02,0.79,24.0,0.89
2023-03-26 01:00:00+08:00,26.19,0.8,24.0,0.89
2023-03-26 02:00:00+08:00,26.31,0.8,24.0,0.94
2023-03-26 03:00:00+08:00,26.41,0.8,24.0,0.94
2023-03-26 04:00:00+08:00,26.51,0.8,24.0,0.94
2023-03-26 05:00:00+08:00,26.59,0.77,26.0,0.79
2023-03-26 06:00:00+08:00,26.68,0.79,25.0,0.83
2023-03-26 07:00:00+08:00,26.77,0.77,26.0,0.84
2023-03-26 08:00:00+08:00,26.91,0.77,26.5,0.84
2023-03-26 09:00:00+08:00,27.11,0.77,27.0,0.84
2023-03-26 10:00:00+08:00,27.42,0.77,29.0,0.74
2023-03-26 11:00:00+08:00,27.7,0.79,30.0,0.75
2023-03-26 12:00:00+08:00,27.96,0.8,30.0,0.7
2023-03-26 13:00:00+08:00,28.16,0.85,32.0,0.63
2023-03-26 14:00:00+08:00,28.34,0.84,31.0,0.66
2023-03-26 15:00:00+08:00,28.53,0.84,31.0,0.7
2023-03-26 16:00:00+08:00,28.58,0.83,30.0,0.7
2023-03-26 17:00:00+08:00,28.43,0.81,29.0,0.7
2023-03-26 18:00:00+08:00,28.28,0.82,27.0,0.7
2023-03-26 19:00:00+08:00,28.16,0.81,27.0,0.74
2023-03-26 20:00:00+08:00,28.0,0.81,27.0,0.74
2023-03-26 21:00:00+08:00,27.86,0.81,26.0,0.84
2023-03-26 22:00:00+08:00,27.8,0.8,27.0,0.79
2023-03-26 23:00:00+08:00,27.75,0.81,26.0,0.89
2023-03-27 00:00:00+08:00,27.75,0.8,27.0,0.79
2023-03-27 01:00:00+08:00,27.74,0.8,27.0,0.79
2023-03-27 02:00:00+08:00,27.74,0.81,26.0,0.84
2023-03-27 03:00:00+08:00,27.73,0.81,26.0,0.89
2023-03-27 04:00:00+08:00,27.69,0.81,26.0,0.89
2023-03-27 05:00:00+08:00,27.67,0.81,26.0,0.89
2023-03-27 06:00:00+08:00,27.73,0.81,26.0,0.94
2023-03-27 07:00:00+08:00,27.78,0.81,26.0,0.94
2023-03-27 08:00:00+08:00,25.63,0.74,26.5,0.84
2023-03-27 09:00:00+08:00,22.11,0.68,27.0,0.74
2023-03-27 10:00:00+08:00,20.56,0.69,24.0,0.94
2023-03-27 11:00:00+08:00,20.57,0.69,24.0,0.94
2023-03-27 12:00:00+08:00,20.58,0.69,24.0,0.94
2023-03-27 13:00:00+08:00,20.61,0.69,25.0,0.89
2023-03-27 14:00:00+08:00,20.56,0.69,25.0,0.89
2023-03-27 15:00:00+08:00,20.64,0.68,26.0,0.89
2023-03-27 16:00:00+08:00,20.64,0.68,27.0,0.84
2023-03-27 17:00:00+08:00,20.6,0.68,27.0,0.84
2023-03-27 18:00:00+08:00,20.56,0.68,27.0,0.84
2023-03-27 19:00:00+08:00,20.52,0.68,26.0,0.89
2023-03-27 20:00:00+08:00,20.46,0.68,26.0,0.89
2023-03-27 21:00:00+08:00,20.57,0.68,26.0,0.89
2023-03-27 22:00:00+08:00,22.06,0.68,26.0,0.89
2023-03-27 23:00:00+08:00,23.47,0.71,25.0,0.94
2023-03-28 00:00:00+08:00,24.36,0.73,25.0,0.94
2023-03-28 01:00:00+08:00,24.97,0.74,25.0,0.94
2023-03-28 02:00:00+08:00,25.42,0.75,25.0,0.94
2023-03-28 03:00:00+08:00,25.74,0.76,25.0,0.94
2023-03-28 04:00:00+08:00,26.0,0.77,25.0,0.94
2023-03-28 05:00:00+08:00,26.2,0.78,25.0,0.94
2023-03-28 06:00:00+08:00,26.34,0.78,25.0,0.94
2023-03-28 07:00:00+08:00,26.53,0.78,25.0,0.94
2023-03-28 08:00:00+08:00,24.02,0.69,26.5,0.89
2023-03-28 09:00:00+08:00,20.9,0.67,28.0,0.84
2023-03-28 10:00:00+08:00,20.4,0.72,31.0,0.7
2023-03-28 11:00:00+08:00,20.38,0.75,32.0,0.63
2023-03-28 12:00:00+08:00,20.41,0.74,32.0,0.63
2023-03-28 13:00:00+08:00,20.33,0.75,32.0,0.55
2023-03-28 14:00:00+08:00,20.61,0.8,34.0,0.49
2023-03-28 15:00:00+08:00,20.96,0.8,34.0,0.49
2023-03-28 16:00:00+08:00,21.14,0.79,34.0,0.47
2023-03-28 17:00:00+08:00,20.97,0.8,34.0,0.47
2023-03-28 18:00:00+08:00,20.7,0.74,32.0,0.55
2023-03-28 19:00:00+08:00,20.58,0.72,31.0,0.62
2023-03-28 20:00:00+08:00,20.53,0.7,30.0,0.66
2023-03-28 21:00:00+08:00,20.61,0.68,29.0,0.74
2023-03-28 22:00:00+08:00,22.29,0.68,28.0,0.79
2023-03-28 23:00:00+08:00,23.64,0.68,28.0,0.79
2023-03-29 00:00:00+08:00,24.5,0.7,27.0,0.84
2023-03-29 01:00:00+08:00,25.13,0.71,27.0,0.84
2023-03-29 02:00:00+08:00,25.56,0.73,27.0,0.84
2023-03-29 03:00:00+08:00,25.91,0.74,27.0,0.79
2023-03-29 04:00:00+08:00,26.17,0.76,26.0,0.89
2023-03-29 05:00:00+08:00,26.34,0.76,26.0,0.84
2023-03-29 06:00:00+08:00,26.49,0.75,27.0,0.79
2023-03-29 07:00:00+08:00,26.73,0.77,26.0,0.84
2023-03-29 08:00:00+08:00,24.34,0.69,27.5,0.79
2023-03-29 09:00:00+08:00,21.24,0.68,29.0,0.74
2023-03-29 10:00:00+08:00,20.61,0.7,30.0,0.66
2023-03-29 11:00:00+08:00,20.71,0.71,31.0,0.66
2023-03-29 12:00:00+08:00,20.47,0.77,33.0,0.59
2023-03-29 13:00:00+08:00,20.15,0.81,34.0,0.53
2023-03-29 14:00:00+08:00,20.17,0.78,33.0,0.56
2023-03-29 15:00:00+08:00,20.35,0.72,31.0,0.66
2023-03-29 16:00:00+08:00,20.56,0.74,32.0,0.52
2023-03-29 17:00:00+08:00,20.53,0.7,30.0,0.7
2023-03-29 18:00:00+08:00,20.55,0.68,29.0,0.66
2023-03-29 19:00:00+08:00,20.5,0.69,25.0,0.94
2023-03-29 20:00:00+08:00,20.38,0.68,26.0,0.89
2023-03-29 21:00:00+08:00,20.51,0.68,26.0,0.89
2023-03-29 22:00:00+08:00,22.15,0.68,26.0,0.89
2023-03-29 23:00:00+08:00,23.42,0.69,26.0,0.89
2023-03-30 00:00:00+08:00,24.26,0.71,26.0,0.89
2023-03-30 01:00:00+08:00,24.84,0.71,27.0,0.84
2023-03-30 02:00:00+08:00,25.28,0.73,26.0,0.89
2023-03-30 03:00:00+08:00,25.62,0.73,27.0,0.84
